date_published,baseline_sentiment,vader_sentiment,month,month_1.0,month_2.0,month_3.0,month_4.0,month_5.0,month_6.0,month_7.0,month_8.0,month_9.0,month_10.0,month_11.0,month_12.0
2015-09-01,0.5714285714285714,0.5482857142857143,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2015-10-01,0.5,0.9655750000000001,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2015-11-01,0.14285714285714285,0.9880428571428571,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2015-12-01,0.5,0.8193833333333332,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2016-01-01,1.0,0.7084285714285714,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,0.4,0.9766,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2016-03-01,0.6,0.58598,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2016-04-01,1.0,0.9929333333333333,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2016-05-01,0.5,0.711975,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2016-06-01,1.0,0.9630142857142857,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2016-07-01,0.0,0.984025,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2016-08-01,0.6666666666666666,0.9938000000000001,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2016-09-01,1.0,0.99505,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2016-10-01,0.75,0.9928250000000001,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2016-11-01,0.5,0.9887,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2016-12-01,1.0,0.97635,12.0,0,0,0,0,0,0,0,0,0,0,0,1
2017-01-01,0.5,0.9780375000000001,1.0,1,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0.42857142857142855,0.8041857142857143,2.0,0,1,0,0,0,0,0,0,0,0,0,0
2017-03-01,0.4,0.80701,3.0,0,0,1,0,0,0,0,0,0,0,0,0
2017-04-01,0.8181818181818182,0.7869636363636364,4.0,0,0,0,1,0,0,0,0,0,0,0,0
2017-05-01,0.7142857142857143,0.8706642857142857,5.0,0,0,0,0,1,0,0,0,0,0,0,0
2017-06-01,0.75,0.9874166666666665,6.0,0,0,0,0,0,1,0,0,0,0,0,0
2017-07-01,0.65,0.87546,7.0,0,0,0,0,0,0,1,0,0,0,0,0
2017-08-01,0.5,0.9781199999999999,8.0,0,0,0,0,0,0,0,1,0,0,0,0
2017-09-01,0.47368421052631576,0.6426578947368421,9.0,0,0,0,0,0,0,0,0,1,0,0,0
2017-10-01,0.6296296296296297,0.7657592592592593,10.0,0,0,0,0,0,0,0,0,0,1,0,0
2017-11-01,0.6521739130434783,0.7448347826086956,11.0,0,0,0,0,0,0,0,0,0,0,1,0
2017-12-01,0.6666666666666666,0.946525,12.0,0,0,0,0,0,0,0,0,0,0,0,1
